HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Female_maturity_days,Male_maturity_days,Gestation_or_Incubation_days,Weaning_days,Clutch_size,Clutches_per_year,Interbirth_interval,Birth_weight_g,Weaning_weight_g,Adult_weight_g,Growth_rate,Maximum_longevity_yrs,Source,Specimen_origin,Sample_size,Data_quality,IMR_per_year,MRDT_yrs,Metabolic_rate_W,Body_mass_g,Temperature
3,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.19,unknown,unknown,medium,acceptable,NULL,NULL,NULL,NULL,unknown
5,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7,7,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,unknown,captivity,large,acceptable,0.05,0.04,NULL,NULL,unknown
6,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,812,unknown,medium,acceptable,NULL,NULL,NULL,NULL,unknown
8,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,1293,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
9,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,411,unknown,medium,acceptable,NULL,NULL,NULL,NULL,unknown
10,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,1156,captivity,medium,questionable,NULL,NULL,NULL,NULL,unknown
11,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15,15,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,811,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
12,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
15,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095,1095,NotKnow,NotKnow,190,NULL,NULL,NULL,NULL,NULL,NULL,20,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
16,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,NotKnow,NotKnow,NotKnow,NotKnow,148,NULL,NULL,NULL,NULL,NULL,NULL,15.8,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
17,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,NotKnow,NotKnow,NotKnow,NotKnow,73,NULL,NULL,NULL,NULL,NULL,NULL,29,unknown,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
18,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910,910,8,NotKnow,6000,NULL,365,NULL,NULL,21.7667,NULL,36,525,captivity,medium,acceptable,NULL,NULL,0.00829,21.6,288
19,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095,1095,6,NotKnow,5200,NULL,NULL,NULL,NULL,NULL,NULL,11.5,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
20,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825,1460,11,NotKnow,1750,NULL,NULL,NULL,NULL,NULL,NULL,15,503,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
21,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad,730,730,4,NotKnow,11074,NULL,NULL,NULL,NULL,NULL,NULL,10.7,485,captivity,small,questionable,NULL,NULL,NULL,NULL,unknown
22,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,NotKnow,NotKnow,NotKnow,NotKnow,1300,NULL,NULL,NULL,NULL,NULL,NULL,12.4,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
23,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730,730,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.3,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
24,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730,730,NotKnow,NotKnow,1500,NULL,NULL,NULL,NULL,NULL,NULL,11.3,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
25,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,NotKnow,NotKnow,2,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.3,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
26,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,NotKnow,NotKnow,3,NotKnow,3250,NULL,NULL,NULL,NULL,19.267,NULL,10,451,captivity,medium,acceptable,NULL,NULL,0.00698,19.2,288
27,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
28,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460,1460,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
29,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,NotKnow,1095,NotKnow,NotKnow,7750,NULL,NULL,NULL,NULL,NULL,NULL,15.4,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
30,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,990,captivity,medium,questionable,NULL,NULL,NULL,NULL,unknown
31,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.7,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
32,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
33,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.9,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
34,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.7,451,captivity,tiny,acceptable,NULL,NULL,NULL,NULL,unknown
35,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365,365,2,NotKnow,10000,NULL,NULL,NULL,NULL,106.25,NULL,24.8,485,captivity,large,acceptable,NULL,NULL,0.0303,105,293
37,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.1,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
38,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.8,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
39,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.9,451,captivity,tiny,acceptable,NULL,NULL,NULL,NULL,unknown
40,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.3,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
41,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.7,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
42,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365,365,12,NotKnow,6,NULL,NULL,NULL,NULL,NULL,NULL,20.5,448,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
43,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75,75,12,NotKnow,7,NULL,NULL,NULL,NULL,NULL,NULL,11.5,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
44,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown,unknown,large,low,NULL,NULL,NULL,NULL,unknown
45,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.1,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
46,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.5,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
47,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog,304,304,15,NotKnow,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown,unknown,medium,low,NULL,NULL,NULL,NULL,unknown
48,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,48.1,NULL,10.9,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
49,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchard's cricket frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
50,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern cricket frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.9,485,captivity,small,questionable,NULL,NULL,NULL,NULL,unknown
51,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,callidryas,Red-eyed tree frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown,unknown,large,low,NULL,NULL,NULL,NULL,unknown
52,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.5,451,captivity,tiny,acceptable,NULL,NULL,NULL,NULL,unknown
53,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.8,451,captivity,tiny,acceptable,NULL,NULL,NULL,NULL,unknown
54,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
55,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730,547,21,NotKnow,35,NULL,NULL,NULL,NULL,NULL,NULL,7.8,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
56,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green treefrog,730,730,NotKnow,NotKnow,1222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown,unknown,medium,low,NULL,NULL,NULL,NULL,unknown
57,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog,NotKnow,NotKnow,NotKnow,NotKnow,2250,NULL,NULL,NULL,NULL,NULL,NULL,12.5,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
58,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog,1278,1278,NotKnow,NotKnow,920,NULL,NULL,NULL,NULL,NULL,NULL,8.9,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
59,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,NotKnow,NotKnow,1,NotKnow,1000,1,NULL,NULL,NULL,NULL,NULL,8.5,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
60,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730,730,4,NotKnow,1800,NULL,NULL,NULL,NULL,7.2,NULL,7.8,543,captivity,medium,acceptable,NULL,NULL,0.00433,6.97,290.5
61,Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's treefrog,NotKnow,NotKnow,NotKnow,NotKnow,775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown,unknown,small,low,NULL,NULL,NULL,NULL,unknown
62,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,NotKnow,NotKnow,NotKnow,NotKnow,1100,NULL,NULL,NULL,NULL,NULL,NULL,20,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
63,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255,120,1,NotKnow,1500,NULL,NULL,NULL,NULL,NULL,NULL,12.9,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
64,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,vastus,Hispaniola giant treefrog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.6,451,captivity,small,questionable,NULL,NULL,NULL,NULL,unknown
65,Animalia,Chordata,Amphibia,Anura,Hylidae,Pachymedusa,dacnicolor,Mexican leaf frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
66,Animalia,Chordata,Amphibia,Anura,Hylidae,Phyllomedusa,bicolor,Waxy treefrog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.3,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
67,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring peeper,912,912,10,NotKnow,700,NULL,NULL,NULL,NULL,4,NULL,NULL,unknown,unknown,small,low,NULL,NULL,0.00105,0.9,292
68,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
69,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican treefrog,NotKnow,NotKnow,NotKnow,NotKnow,2480,NULL,NULL,NULL,NULL,NULL,NULL,6.3,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
70,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland burrowing treefrog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.1,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
71,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked treefrog,NotKnow,NotKnow,NotKnow,NotKnow,2000,NULL,NULL,NULL,NULL,NULL,NULL,4.1,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
72,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled treefrog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.5,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
73,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,NotKnow,NotKnow,32,NotKnow,62,NULL,NULL,NULL,NULL,NULL,NULL,14,525,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
74,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.8,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
75,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,NotKnow,NotKnow,14,NotKnow,40,NULL,NULL,NULL,NULL,NULL,NULL,10.9,451,captivity,large,acceptable,NULL,NULL,NULL,NULL,unknown
76,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged mantella,365,365,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1060,wild,small,questionable,NULL,NULL,NULL,NULL,unknown
77,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,547,365,1,NotKnow,722,NULL,NULL,NULL,NULL,NULL,NULL,6.8,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
78,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
79,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,547,182,NotKnow,NotKnow,NULL,NULL,NULL,1125,NULL,NULL,NULL,5,964,wild,small,acceptable,NULL,NULL,NULL,NULL,unknown
80,Animalia,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.3,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
81,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow frog,365,365,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1060,wild,small,questionable,NULL,NULL,NULL,NULL,unknown
82,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,NotKnow,NotKnow,8,NotKnow,1740,NULL,NULL,NULL,NULL,NULL,NULL,11,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
83,Animalia,Chordata,Amphibia,Anura,Petropedetidae,Conraua,goliath,Goliath frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.9,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
84,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam toad,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,485,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
85,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,183,NotKnow,2,NotKnow,NULL,NULL,NULL,NULL,NULL,130,NULL,30.3,451,captivity,large,acceptable,NULL,NULL,0.012,63.6,288
86,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African bullfrog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,451,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
87,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Tomopterna,delalandii,Cape sand frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.3,451,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
88,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,1277,730,4,NotKnow,NULL,NULL,NULL,NULL,NULL,54.4,NULL,16,485,captivity,medium,acceptable,NULL,NULL,0.0134,51.2,288
89,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog,730,730,NotKnow,NotKnow,4000,NULL,NULL,NULL,NULL,NULL,NULL,10,528,captivity,medium,acceptable,NULL,NULL,NULL,NULL,unknown
90,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,730,365,NotKnow,NotKnow,4146,NULL,NULL,NULL,NULL,29.0222,NULL,9,525,wild,medium,acceptable,NULL,NULL,0.00576,21.6,289.78
91,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog,730,547,NotKnow,NotKnow,2250,NULL,NULL,NULL,NULL,NULL,NULL,6,528,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
92,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood frog,912,547,NotKnow,NotKnow,900,NULL,NULL,NULL,NULL,7.88,NULL,5,unknown,unknown,medium,questionable,NULL,NULL,0.00416,7.8,289.8
93,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog,NotKnow,730,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.2,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
94,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool frog,NotKnow,NotKnow,NotKnow,NotKnow,2420,NULL,NULL,NULL,NULL,NULL,NULL,6,525,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
95,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730,730,NotKnow,NotKnow,2800,NULL,NULL,NULL,NULL,NULL,NULL,15,651,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
96,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,912,912,6,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.8,650,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
97,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog,1460,1095,NotKnow,NotKnow,6835,NULL,NULL,NULL,NULL,NULL,NULL,11,525,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
98,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog,1640,1640,NotKnow,NotKnow,2125,NULL,NULL,NULL,NULL,NULL,NULL,9,525,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
99,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor frog,NotKnow,NotKnow,NotKnow,NotKnow,1750,NULL,NULL,NULL,NULL,NULL,NULL,11,525,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
100,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,California red-legged frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,503,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
101,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible frog,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,525,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
102,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian frog,NotKnow,NotKnow,NotKnow,NotKnow,318,NULL,NULL,NULL,NULL,NULL,NULL,8,525,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
103,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog,912,912,NotKnow,NotKnow,2040,NULL,NULL,NULL,NULL,NULL,NULL,5,525,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
104,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog,1095,1095,NotKnow,NotKnow,2585,NULL,NULL,NULL,NULL,NULL,NULL,27,unknown,unknown,medium,acceptable,NULL,NULL,NULL,NULL,unknown
105,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's spadefoot,NotKnow,NotKnow,NotKnow,NotKnow,3000,NULL,NULL,NULL,NULL,NULL,NULL,6.7,485,captivity,small,questionable,NULL,NULL,NULL,NULL,unknown
106,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot,730,730,8,NotKnow,3872,NULL,NULL,NULL,NULL,NULL,NULL,12.3,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
107,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,NotKnow,NotKnow,3,NotKnow,676,NULL,NULL,NULL,NULL,NULL,NULL,20,437,wild,medium,acceptable,NULL,NULL,NULL,NULL,unknown
108,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern salamander,730,730,NotKnow,NotKnow,150,NULL,NULL,NULL,NULL,NULL,NULL,10.2,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
109,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mabeei,Mabee's salamander,NotKnow,NotKnow,NotKnow,NotKnow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,485,captivity,small,acceptable,NULL,NULL,NULL,NULL,unknown
